model_key,from_id,to_id,n_compounds,r_squared,correlation,mean_error_abs,median_error_abs,sd_error_abs,q95_error_abs,max_error_abs,mean_error_rel,median_error_rel,sd_error_rel,q95_error_rel,max_error_rel,mean_ci_width,median_ci_width,sd_ci_width,q95_ci_width,max_ci_width,mean_ci_width_rel,median_ci_width_rel,sd_ci_width_rel,q95_ci_width_rel,max_ci_width_rel
0240_to_0063,0240,0063,24,0.9702870406059468,0.9861612212312044,0.254720814582341,0.13168052223414284,0.36071313117185105,0.8811967424102539,1.671822209560947,10.088639231811928,4.319672833914578,11.156536202937916,31.28820789646994,40.636790773050976,1.293183191463317,0.8984097471988342,1.1135903295213057,2.663140280038717,5.50013531740624,42.377205273523316,30.691357806254217,28.739289867883457,97.09158107537938,106.74900124277424
0240_to_0210,0240,0210,97,0.9108991121860678,0.9221719896236796,0.5347335592494449,0.1533889288217829,1.324235864095965,1.9008476990680014,8.564579665024484,12.206790086074044,7.570314336693763,14.125980398744744,46.883094849634645,66.8121905153363,1.9025707489337107,0.6864719463671305,4.426280390617603,6.884447352809229,27.650533657151463,36.44043374796287,25.506040120323153,27.413316211465666,83.940813608572455,149.02704841410275
0240_to_0219,0240,0219,13,0.9874848267854286,0.9020594401397097,0.06255248134988088,0.0464079288622945,0.08309583849586659,0.18696328020171138,0.317596575415624,2.402919541923144,1.3279035895784945,3.7659812304032174,7.527578681078488,14.56865024842312,1.017268495156839,0.45438291646384554,1.1249289007721461,3.2488120619220417,3.6985209281417672,32.4427717258952,17.604264380451855,24.07174572669337,72.10220335680867,78.18071891611267
0240_to_0236,0240,0236,504,0.998833569953769,0.9990828819748027,0.04245123785444401,0.02600881140674205,0.055415423208849464,0.1243809440683187,0.5116630073256587,1.843420888371629,0.8371197077609245,4.307614676840955,6.9532109097403705,81.12195317608692,0.05478711709145194,0.048980171695971464,0.034602952125419834,0.11384153077500797,0.3054084628713749,2.5750597457642286,1.2935425483742844,3.2408434330883513,9.800948689280577,25.403791553553813
0240_to_0238,0240,0238,513,0.9997403539982213,0.999682488545521,0.02132355098651661,0.014489546452471913,0.025507658281135322,0.0624855365954495,0.31324113454105396,0.8843498698191512,0.47521433605135516,1.517632379383925,2.7425453886123377,17.829666593406003,0.030205092531252205,0.02274999488396645,0.0284565192207948,0.05942799161397597,0.522034863560938,1.3712850086843518,0.6343372949858885,1.5793218434064724,4.629883120523317,11.38097139217947
0240_to_0244,0240,0244,471,0.9673415337294988,0.9826859683061612,0.11889941556865921,0.04711359674865445,0.3368344921213599,0.34977340660547424,4.53426305803064,5.148852114027243,1.4099880050060598,11.733011162209312,15.836071294162473,127.93994291936205,0.11251546402778234,0.1006823520233211,0.06803616968563937,0.27908903828252923,0.5735327835451223,5.612029772941566,3.257823682345758,5.99093795389332,18.750535787140116,28.822848671535944
0240_to_0246,0240,0246,482,0.9774766198139295,0.9872307997250286,0.10147136878248748,0.0407930627378888,0.2759606063547201,0.3184927016813527,4.441318785973786,4.59830035324856,1.3337597267697765,10.108062996590975,16.11832316941924,122.6118726852911,0.10636839872282011,0.0924495817080564,0.07542459635056875,0.2849889100383822,0.4581156094350387,5.9265528775578735,2.8093272953494752,7.1605039694838934,20.302878447425023,35.52077625203
0240_to_0248,0240,0248,469,0.9661046483119149,0.9809230867698577,0.1151316572293226,0.046942308210206285,0.3304253912118666,0.3687313767679883,4.402752336686913,5.232371147025597,1.3012315439873754,12.062292802461497,16.819529815071263,122.64730805827642,0.10515901353816727,0.09570699477850919,0.073067214519832,0.2683207792155468,0.609753820488903,5.506081191006673,3.0341468110869467,6.012235425662654,18.530968454496247,27.6815055496865
0240_to_0252,0240,0252,484,0.9807531605779509,0.9901277583461762,0.08693902690456046,0.039157962950390424,0.2644532277957929,0.30480476624409164,4.718776434969463,3.5004395407970814,1.1550111294272138,12.22491744886794,10.391287204795256,206.32662018221572,0.08648135840165024,0.07614468754609405,0.04963554380279634,0.18726111220736297,0.5972201816142793,3.928109860626709,1.953526212499608,4.963685876079125,18.127720254384812,23.034390367660958
0240_to_0254,0240,0254,477,0.9604569198923599,0.979897038773173,0.09444407594722598,0.03479860003530888,0.3754723231418298,0.25782594468505915,5.57970290102169,3.226477252314809,1.0902690049968606,11.231491404042476,7.376822169395881,151.39340926923427,0.07735934427764246,0.06865833303497304,0.04528808126958972,0.15045088365239706,0.6843992557143057,3.412589295929539,1.712448923371082,3.766829119212664,13.750861047393297,17.168839836830717
0240_to_0256,0240,0256,485,0.9754865890657047,0.987542397101388,0.08794567767209426,0.03897865231303399,0.29242514546231896,0.24913922096144844,4.613667668675346,3.1389778330661864,1.03145513084296,10.935512535479736,7.817035252282754,158.8569576462126,0.0785116525479581,0.0750883851493338,0.046228881673278384,0.15828027434828956,0.6653872393389708,3.1671448916727836,1.7360314322344603,3.389792712772063,12.574777675389425,15.073572659899103
0240_to_0260,0240,0260,165,0.7647772211223701,0.8571092299794032,0.386953051515849,0.213421687048033,0.8109446662102394,1.144692470597892,8.941199395588717,5.067761988441384,1.8977564204875779,11.147626048634407,23.79883861744157,85.5862869301112,0.7025449513759675,0.3553074469255222,1.2635473206726984,2.2699495850899867,7.501470344999043,20.412967553221083,3.290259775700593,99.97573775115491,35.61353755372235,1049.2036803685912
0240_to_0262,0240,0262,217,0.8535029884764767,0.9152113703844811,0.7605558901092566,0.43641251534738323,1.0653084600266516,2.6571237599048634,7.020333853380636,6.695708308989197,3.3573941164842127,11.005047402842965,25.60452998684174,93.81403568669398,0.9095464518868135,0.8226643696345892,0.5762644606579412,1.4829896291564428,4.480315402316916,8.340765636173632,6.158199588760631,9.129122722616515,14.83617649233537,80.03121195430587
0240_to_0263,0240,0263,188,0.7308558021023804,0.848440365166148,1.0716320001467738,0.48215176614452204,1.427840967137392,4.586497062324134,6.510877346882992,10.795198099456092,3.5786194537585625,23.8380594088712,36.599553971244895,258.67533132205006,1.4175381006857444,0.9871849582235281,1.3013330438797173,3.468715288250852,8.809726729779962,13.307688847574905,6.5464285740914505,18.42630799753333,43.05017546376987,126.53795164437949
0240_to_0382,0240,0382,230,0.8742241100168135,0.9314175054911819,0.6460721841500922,0.42962223593669036,0.8058529969975515,2.0877254680144475,6.304226759661011,8.333067465023696,4.980067010787154,10.139651915408365,27.168300272658378,82.23339578990155,0.7260039158852665,0.5858695962227056,0.36732294439079716,1.3334501752343462,2.32796464092079,12.421005239873649,6.190721383693997,20.278033549617405,32.27726807438265,164.15985425378824
0240_to_0383,0240,0383,193,0.8774512397217171,0.9328589005534313,0.6627346769346047,0.39786031266753064,0.7870811967851723,2.2410085108370255,4.594975015883685,9.124981397030592,4.731958365279461,12.00445228624742,32.42445964397614,83.38801085579983,0.8739326138841741,0.6544119669646751,0.4761084566472205,1.62051896587317,2.3635331909830892,14.938094895105953,6.688400597899641,21.365298870429022,42.05083999272786,165.67385835366446
0240_to_0391,0240,0391,98,0.9232038191276462,0.9510185710156603,0.1828304820609089,0.09374528579972563,0.4255286926090988,0.43823331814630356,4.0364253262852445,8.375107701993201,3.506455450731737,20.70706147562824,22.908010148428637,192.60511171853054,0.5018489926521507,0.3253851800588805,0.5127770719548174,1.3598393917529097,3.1678431168083465,22.132450402101043,14.249264937542439,27.764399344350124,87.17142704503519,180.92402634078405
